# Franken Research movement census, 2026-09-24 (UTC). Read-only; GitHub API only.
# Census run 2026-09-24 02:53-02:57 UTC. Pins come from each packet's "Pinned commit" / "Pin" header line; matrix cells (ci_at_pin, rel_at_pin, license_at_pin) from synthesis/00-overview.md master matrix. Neither is edited.
# Commands (OWNER=Dicklesworthstone; REPO, PIN, HEAD, PIN_DATE substituted per row):
#   gh api graphql -f query=<Q> -F owner=$OWNER -F name=$REPO -F pin=$PIN -F pinwf=$PIN:.github/workflows -F pinlic=$PIN:LICENSE
#     Q = repository(owner,name){ nameWithOwner isArchived pushedAt defaultBranchRef{name target{...on Commit{oid committedDate}}} pinCommit:object(expression:$pin){...on Commit{oid committedDate}} headWf:object(expression:"HEAD:.github/workflows"){...on Tree{entries{name}}} pinWf:object(expression:$pinwf){...} headLic:object(expression:"HEAD:LICENSE"){...on Blob{text}} headLicMd:object(expression:"HEAD:LICENSE.md"){...} pinLic:object(expression:$pinlic){...} releases(first:30,orderBy:{field:CREATED_AT,direction:DESC}){nodes{tagName isDraft isPrerelease createdAt publishedAt tagCommit{oid committedDate}}} refs(refPrefix:"refs/tags/",first:30,orderBy:{field:TAG_COMMIT_DATE,direction:DESC}){nodes{name target{...on Commit{oid committedDate} ...on Tag{target{...on Commit{oid committedDate}}}}}} }
#   gh api repos/$OWNER/$REPO/compare/$PIN...$HEAD --jq '{status, ahead_by, behind_by}'
#   gh api "repos/$OWNER/$REPO/actions/runs?head_sha=$HEAD&per_page=100" --jq '[.workflow_runs[] | (.conclusion // .status)] | group_by(.) | map("\(.[0])=\(length)") | join(",")'
#   gh api --paginate "repos/$OWNER/$REPO/commits?sha=HEAD&since=$PIN_DATE&per_page=100" --jq '.[] | select(.sha != "$PIN") | (.author.login // ("email:" + .commit.author.email))'
# Definitions: new_releases = GitHub Releases published after the pin commit date, plus tags whose commit is dated after it (tags checked with compare PIN...TAG = ahead). head/head_date = default-branch tip. workflows_now = files under .github/workflows at HEAD, compared with the same path at the pin (file presence only; C5 "disabled" states are not visible this way). license_now = first non-empty line of HEAD:LICENSE (or LICENSE.md). actions_runs_at_head = a snapshot of run conclusions/status for the HEAD sha at census time, not a pin verdict. authors_since_pin = commit author logins (or emails) dated after the pin; a date-window sample.
# material_change = [Inference, Medium]: "yes" only when census evidence could change a master-matrix cell (TRL, ring, CI class, release class, license, bus factor) at a re-pin. Commits alone never move a cell here; TRL and ring need a dated addendum. Result: 44 repos checked; 0 not found, renamed, or archived; 32 moved past the pin, 12 did not; 2 flagged yes.
repo	pin	pin_date	head	head_date	commits_ahead	new_releases	workflows_now	license_now	material_change	ci_at_pin	rel_at_pin	license_at_pin	actions_runs_at_head	authors_since_pin	note
asupersync	768595203e194573bb713158b5963f55861dfe2d	2026-09-22T15:31:19Z	f4423fcf0c7178ee7e40a44cace7f1c971ff9570	2026-09-24T02:05:52Z	44	none	12 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C3	R3	Rider	none	Dicklesworthstone=17 email:[email redacted]=27	
beads-for-frankentui	e1a842f6a1e37f9c5f9648634652163219aa461e	2026-09-21T14:04:11Z	e1a842f6a1e37f9c5f9648634652163219aa461e	2026-09-21T14:04:11Z	0	none	1 files; same set as pin	no LICENSE file	no: HEAD is the pin	C4 (deploy-only; pin run green)	R1	none	success=1	-	
beads_for_franken_engine	50e2709a59becd2cf33071f0aa031c5447635c04	2026-03-09T00:20:12Z	50e2709a59becd2cf33071f0aa031c5447635c04	2026-03-09T00:20:12Z	0	none	1 files; same set as pin	no LICENSE file	no: HEAD is the pin	C4 (deploy-only; pin runs green)	R1	none	success=2	-	
franken_agent_detection	026f60b28784ca77c5b8e47e3dba9b22d154b4d9	2026-09-22T04:29:33Z	026f60b28784ca77c5b8e47e3dba9b22d154b4d9	2026-09-22T04:29:33Z	0	none	5 files; same set as pin	MIT License	no: HEAD is the pin	C2	R3	plain MIT	failure=1,success=1	-	
franken_alignment	d05cb8c8dcbf1e5057b9ba208ad3921e8107a487	2026-09-22T15:13:39Z	98079e014ef7f53b545e375cb4b56c087aa1a693	2026-09-24T02:24:19Z	24	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C6	R1	Rider	none	Dicklesworthstone=24	
franken_code_browser	cc8330d18b8da7b4ebd3571458fd51ef5d9d0a3e	2026-09-22T14:39:48Z	623340b4fa301e796988fc157ff9cfbb9fbf7a36	2026-09-24T01:52:49Z	33	v0.1.0 (release, 2026-09-23, c7c5310)	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	yes: Rel (R1 -> R3 at the release commit; see addendum), TRL (re-assessed in addendum); CI, license, bus factor unchanged	C4	R1	Rider	none	Dicklesworthstone=33	first GitHub release v0.1.0 (notarized DMG + .sha256), targets c7c5310, 5 commits behind HEAD; dated re-check in updates/franken_code_browser-2026-09-24.md
franken_drone_geometry_reconstruction	90892e931cd7c8d0de179ccdc36569790ccc4030	2026-09-04T15:50:57Z	90892e931cd7c8d0de179ccdc36569790ccc4030	2026-09-04T15:50:57Z	0	none	1 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: HEAD is the pin	C6 (self-hosted; 324 runs queued/cancelled)	R1	Rider	cancelled=1	-	
franken_engine	bff9a4da7059717335926b4bacdbb03d96408a7f	2026-09-21T01:12:02Z	fd1582d83b8dddb18940b0ea304f8cd24f267491	2026-09-24T02:52:07Z	30	none	23 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C2	R2	Rider	failure=1,in_progress=3,queued=3,success=1	Dicklesworthstone=1 email:[email redacted]=31	
franken_lean	e91da19970591cf5c0ed0c113b475d748577291c	2026-09-22T15:17:18Z	072c460b124883d0c5d0c18a54beb3397d745f4a	2026-09-24T02:51:37Z	50	none	97 files; +7 / -0 vs pin (90)	MIT License (with OpenAI/Anthropic Rider)	no: workflow set grew (90 -> 97) but runs at HEAD still fail, so C2 stands	C2	R1	Rider	failure=5,in_progress=1	Dicklesworthstone=34 email:[email redacted]=16	workflow files 90 -> 97; 5 failures at HEAD, C2 stands on this snapshot
franken_manim	d3a8090e6950a440876f5eb389b6b9fbb5f910d4	2026-09-22T14:59:17Z	d9f70ddf1d08d20757a8ff14e901934cad46f73c	2026-09-24T02:50:25Z	63	none	95 files; +8 / -0 vs pin (87)	MIT License (with OpenAI/Anthropic Rider)	no: workflow set grew (87 -> 95); C3 stands (no HEAD verdict yet)	C3	R3	Rider	in_progress=2,success=1	Dicklesworthstone=52 email:[email redacted]=11 github-actions[bot]=1	workflow files 87 -> 95; runs at HEAD still in progress at census time
