old_commit	new_commit	subject
114d5f0e9804511f646169be2b7efe0f40742f80	1ef0f8ecf57d671c9a5334e63d5fe6fd898c3478	Import franken-assessments-44 v11 as shipped [pending]
6236855590dc68137a61d52af92c507b35c91e03	d6a367f280f5ea8ba2a16904cf8442f05a5a411f	Front door names Franken Research; section pages cite sources [pending]
07b681b0260b7b2cbe30f2de9fda735769a53ab7	9a99982c347916e00480481d6dffb31384d682c5	Site gates run in-repo: all 11 pass, A and I no longer unrun [mutation]
bbc1bda15d4ce9f235274864c5a0d61a879feda8	10ec830329da76dd742eafba406518198ed29cf5	Redact maintainer commit emails; drop local home paths [test]
4f4f0e3e130d237e24a98b2d270581234b8ce06e	a298c99f733fd23d8cb6b6c4862f2906417e77c0	Self-assessment page, public repo docs, CI; B/E gates report counts and fail on empty scans [test]
feca53f309e05dc5a86c596a90cfd83bcb626dd9	69d19541f15620b73a75e110bc6b12af8262adc2	Front door explains itself: plain hero, finding cards, map key, phone sheet, deep links, reproducible bundle [test]
7a8563ec04acc6e33e93a4ea9f0d5fd083c73ddc	53323f8e3bf71c2e45da9265d44878ca670842b9	Briefs and sections: Franken Research affiliation, share cards, share button, 404, sitemap [test]
4de9d53d10cde41233dff6fd12a820aeba31d68b	527c227b7dc7b45b814206ed2ad52b456b2fdfc7	Changelog covers the front door, briefs, and audit fixes [test]
f24056c10ee242ecfc8e97279110259d3a138ddf	9f1dcfb7670176e0a426fc40a05ae3c47e83bf3c	Brief share button shows every outcome; plain-language labels [test]
b1b3e843dcae67c603f56d7f6ba501b3574cb583	f49aaa9db4788c37dc08829173d99f19e602e4e0	Front door QA fixes: left-docked panel, visible copy fallback, honest CI card, phone filter sheet [test]
c2a40700d0c99512fc1c4575ba42b9fe208cd072	b174e34671e41940c42e9f96007b840575ede495	Release v1.0.0: self-grade records first CI run and release [test]
d34f5ce718cd75790567c23e4757b86a1c2e9782	9cd29ec46dd657b78e836c15569af7f42eb16222	Agent stack method: adopt/wrap/build/watch verdicts with cited evidence [pending]
6d03cc14755b8ab8194bac76298dce1a0b4cc2c1	16deb8c368d8a6904c9e1e581b240dc7a1fee461	Agent stack method v2: quoted citations, verdict order, carried caveats [pending]
a80abd010badc5f15200239cc2b3ac758a5b28ac	0f14145895eba7815ed3e54956438955acbb049c	CI adopts four practices from the rigor index: measured timeout, PR concurrency, SHA-pinned actions, weekly run [test]
3909dacab9c8abf93bce7b7445b2f7417ee0e563	eef87ef0086bbe31fb5e2c1e57c1d70982af715b	stack: orchestration and eval/safety verdicts (7 types, METHOD v2 quoted citations) [test]
36de0d4994988025b800e5bf741787ad68f111e2	d3881fc34a2a8ea77b1c404ee4b811621ee1a10d	Agent stack verdicts: tools and environment, training and voice (7 types, METHOD v2 quoted citations) [test]
4a518ba9b7f2913433b579de21345d0ce76082ef	d18904311e0bdf61907f84ea4c3ce603d7814412	Stack verdicts: model serving and memory/retrieval types, quoted citations per METHOD v2 [test]
90fcf5404d3b22ee4653a5e1348e98d0547cf5c3	c6c4e562d7c97e5485cfba74ee7f87b75689eeaa	stack: fix 11 review findings on orchestration and eval/safety verdicts [test]
2da9fb48df51e3426f6f4786291a7ecc4a08f00a	add8d6a4b40dbf22472e43726f83029002acac5b	Rigor practices index (135 rows) and Beyond FrankenSuite page [test]
ac44c22a4944de7ece50deba37b9740b030188d1	68d952340d7dcc18a4228df8ec24651eaa717a55	Agent stack pages generated from stack/, Gate K (K1-K4) proven on planted known-bad copies, nav and sitemap entry points [mutation]
