repo	spdx	license_class	checked	command	note
a2aproject/A2A	Apache-2.0	permissive	2026-09-23	gh api repos/a2aproject/A2A --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/a2aproject/A2A/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
a2aproject/a2a-python	Apache-2.0	permissive	2026-09-23	gh api repos/a2aproject/a2a-python --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/a2aproject/a2a-python/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
abetlen/llama-cpp-python	MIT	permissive	2026-09-23	gh api repos/abetlen/llama-cpp-python --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/abetlen/llama-cpp-python/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
agent-network-protocol/anp	Apache-2.0	permissive	2026-09-23	gh api repos/agent-network-protocol/anp --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/agent-network-protocol/anp/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
Arize-ai/phoenix	Elastic-2.0	source-available	2026-09-23	gh api repos/Arize-ai/phoenix --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/Arize-ai/phoenix/license --jq .content | base64 -d ; gh api -H 'Accept: application/vnd.github.raw' repos/Arize-ai/phoenix/contents/packages/phoenix-evals/LICENSE ; gh api -H 'Accept: application/vnd.github.raw' repos/Arize-ai/phoenix/contents/packages/phoenix-otel/LICENSE ; gh api 'repos/Arize-ai/phoenix/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; root LICENSE is "Elastic License 2.0 (ELv2)": "You may not provide the software to third parties as a hosted or managed service"; packages/phoenix-otel and packages/phoenix-client are Apache-2.0, packages/phoenix-evals is ELv2; tree scanned for nested licenses/ee dirs
axolotl-ai-cloud/axolotl	Apache-2.0 AND LicenseRef-Axolotl-Community	permissive-with-conditions	2026-09-23	gh api repos/axolotl-ai-cloud/axolotl --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api -H 'Accept: application/vnd.github.raw' repos/axolotl-ai-cloud/axolotl/contents/src/axolotl/integrations/LICENSE.md ; gh api 'repos/axolotl-ai-cloud/axolotl/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	root Apache-2.0, but src/axolotl/integrations/ is under the Axolotl Community License: "shall not use the Software for any activity that constitutes a commercial activity of offering for free or for sale any services, platform, or equivalent to third parties for the purposes of allowing such third parties to fine-tune artificial intelligence models"; integrations/cut_cross_entropy is under an Apple license; tree scanned for nested licenses/ee dirs
bitsandbytes-foundation/bitsandbytes	MIT	permissive	2026-09-23	gh api repos/bitsandbytes-foundation/bitsandbytes --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/bitsandbytes-foundation/bitsandbytes/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
browser-use/browser-use	MIT	permissive	2026-09-23	gh api repos/browser-use/browser-use --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/browser-use/browser-use/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
browserbase/stagehand	MIT	permissive	2026-09-23	gh api repos/browserbase/stagehand --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/browserbase/stagehand/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
browserless/browserless	SSPL-1.0 OR LicenseRef-Browserless-Commercial	source-available	2026-09-23	gh api repos/browserless/browserless --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/browserless/browserless/license --jq .content | base64 -d ; gh api 'repos/browserless/browserless/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE: "dual-licensed under the MongoDB Server-Side Public License OR the browserless commercial license"; "If you want to use browserless to build commercial sites, applications, or in a continuous-integration system that's closed-source then you'll need to purchase a commercial license"; tree scanned for nested licenses/ee dirs
cadence-workflow/cadence	Apache-2.0	permissive	2026-09-23	gh api repos/cadence-workflow/cadence --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/cadence-workflow/cadence/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
chroma-core/chroma	Apache-2.0	permissive	2026-09-23	gh api repos/chroma-core/chroma --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/chroma-core/chroma/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
cloudflare/sandbox-sdk	Apache-2.0	permissive	2026-09-23	gh api repos/cloudflare/sandbox-sdk --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/cloudflare/sandbox-sdk/license --jq .content | base64 -d ; gh api 'repos/cloudflare/sandbox-sdk/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; root LICENSE text is the unmodified Apache License 2.0 (no appended terms); packages/sandbox/LICENSE also Apache-2.0; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
comet-ml/opik	Apache-2.0	permissive	2026-09-23	gh api repos/comet-ml/opik --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/comet-ml/opik/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
conductor-oss/conductor	Apache-2.0	permissive	2026-09-23	gh api repos/conductor-oss/conductor --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/conductor-oss/conductor/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
confident-ai/deepeval	Apache-2.0	permissive	2026-09-23	gh api repos/confident-ai/deepeval --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/confident-ai/deepeval/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
deepset-ai/haystack	Apache-2.0	permissive	2026-09-23	gh api repos/deepset-ai/haystack --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/deepset-ai/haystack/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
dottxt-ai/outlines	Apache-2.0	permissive	2026-09-23	gh api repos/dottxt-ai/outlines --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/dottxt-ai/outlines/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
e2b-dev/E2B	Apache-2.0	permissive	2026-09-23	gh api repos/e2b-dev/E2B --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/e2b-dev/E2B/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
EleutherAI/lm-evaluation-harness	MIT	permissive	2026-09-23	gh api repos/EleutherAI/lm-evaluation-harness --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/EleutherAI/lm-evaluation-harness/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
