# Revisit triggers from every packet (RULEBOOK.md §4.11), mapped to the FR-T.7 detector vocabulary. Generated by `node watch/freshness/revisit.mjs --tsv`; the reviewed_by column records who checked each mapping.
repo	n	text	detector	params	packet	reviewed_by
asupersync	1	first GitHub Actions run green at a pinned commit, or DSR receipts made externally auditable	human		packets/asupersync-assessment.md#L226	FreshCore (unreviewed)
asupersync	2	one reverse-dependency crate from outside the Dicklesworthstone constellation	human		packets/asupersync-assessment.md#L226	FreshCore (unreviewed)
asupersync	3	an independent benchmark publication	human		packets/asupersync-assessment.md#L226	FreshCore (unreviewed)
asupersync	4	a second committer or a governance document	human		packets/asupersync-assessment.md#L226	FreshCore (unreviewed)
asupersync	5	0.6.0 published to crates.io with the tokio-compat bridge adopted by a sibling	human		packets/asupersync-assessment.md#L226	FreshCore (unreviewed)
beads-for-frankentui	1	`data/meta.json` `generated_at` moves past 2026-03-08 (freshness loop closed — re-ring to Explore)	human		packets/beads-for-frankentui-assessment.md#L214	FreshCore (unreviewed)
beads-for-frankentui	2	a LICENSE file appears (adoption ceiling lifts)	license.text		packets/beads-for-frankentui-assessment.md#L214	FreshCore (unreviewed)
beads-for-frankentui	3	a sibling franken repo ships its own bv dashboard (pattern export confirmed)	human		packets/beads-for-frankentui-assessment.md#L214	FreshCore (unreviewed)
beads-for-frankentui	4	the repo is archived or the Pages site goes dark (terminal — close the packet)	human		packets/beads-for-frankentui-assessment.md#L214	FreshCore (unreviewed)
beads-for-frankentui	5	`bv` upstream changes the export schema silently obsoleting the checked-in tree (re-verify the fidelity table)	human		packets/beads-for-frankentui-assessment.md#L214	FreshCore (unreviewed)
beads_for_franken_engine	1	A second commit lands (re-export or CI schedule) — `git log` count > 1. Flips the fossil judgment	human		packets/beads_for_franken_engine-assessment.md#L217	FreshCore (unreviewed)
beads_for_franken_engine	2	A LICENSE file appears — flips the dataset-reuse judgment	license.text		packets/beads_for_franken_engine-assessment.md#L218	FreshCore (unreviewed)
beads_for_franken_engine	3	`bv --pages` emits a generator version + verification queries — flips the reproducibility judgment (check `export_meta` for a `bv_version` key)	human		packets/beads_for_franken_engine-assessment.md#L219	FreshCore (unreviewed)
beads_for_franken_engine	4	A data re-export lands — `export_meta.generated_at` advances past March 2026. Flips the fossil judgment	human		packets/beads_for_franken_engine-assessment.md#L220	FreshCore (unreviewed)
beads_for_franken_engine	5	The README's 264/63 is corrected or reproduced — a documented SQL query reproduces the headline numbers. Flips the triage-credibility judgment	human		packets/beads_for_franken_engine-assessment.md#L221	FreshCore (unreviewed)
beads_for_franken_engine	6	The backtest or archaeology study is published (next-steps 1, 5) — triage scores vs actual close order. Flips the dataset from curiosity to evidence	human		packets/beads_for_franken_engine-assessment.md#L222	FreshCore (unreviewed)
beads_for_franken_engine	7	Pages deploy breaks or the repo is archived — the decay sensor for a static site: stays Monitor, treat as retired permanently	human		packets/beads_for_franken_engine-assessment.md#L223	FreshCore (unreviewed)
franken_agent_detection	1	a crates.io reverse-dependency outside the FrankenSuite appears	human		packets/franken_agent_detection-assessment.md#L201	FreshCore (unreviewed)
franken_agent_detection	2	main CI goes green at a pin (Format gate passing, 1,226 tests executing)	ci.class	to=C1	packets/franken_agent_detection-assessment.md#L201	FreshCore (unreviewed)
franken_agent_detection	3	the README documents the `connectors` feature	human		packets/franken_agent_detection-assessment.md#L201	FreshCore (unreviewed)
franken_agent_detection	4	bead `8np` closes (the slug seam resolved)	human		packets/franken_agent_detection-assessment.md#L201	FreshCore (unreviewed)
franken_agent_detection	5	a second maintainer or any merged outside contribution appears	human		packets/franken_agent_detection-assessment.md#L201	FreshCore (unreviewed)
