# rigor-atlas evidence check for TIER-MAP.md TM-RA-1 / TM-RA-10, written 2026-09-25 by search/tools/quote-check.mjs ra (format 1)
# source: rigor-atlas DB snapshot sha256=881cce40223af3079311f3390bfa851ff6b36aa792fcc225d45fd12ab91d366f; each file read with git at its repository's pinned commit (repos.sha) from [LOCAL_MIRROR]; quote text is not stored, only the first 16 hex of its sha256
# techniques: KNOW with at least one code evidence path, forks excluded: 1412; TM-RA-1 1412 (of which 11 only through a relocated-once path, N4); TM-RA-10 0
# evidence paths checked: 3478; raw states CURRENT 3397, RELOCATED 73, STALE 8
technique_id	repo	commit	path	line	quote_sha16	raw_state	occurrences	found_at	normalized	technique_rule
ra:technique:Dicklesworthstone/nice-number-axis-ticks/c1c8747e	Dicklesworthstone	082a0f8377d27889d35d432b1cd131dbc1ae8490	scripts/star_history.py	179	bdf7d1b36560eed6	CURRENT	1	179-179	CURRENT	TM-RA-1
ra:technique:Dicklesworthstone/nice-number-axis-ticks/c1c8747e	Dicklesworthstone	082a0f8377d27889d35d432b1cd131dbc1ae8490	scripts/star_history.py	188	4a95f6261c000730	CURRENT	1	188-188	CURRENT	TM-RA-1
ra:technique:Dicklesworthstone/nice-number-axis-ticks/c1c8747e	Dicklesworthstone	082a0f8377d27889d35d432b1cd131dbc1ae8490	scripts/star_history.py	320	10b51f95b3043fc0	CURRENT	1	320-320	CURRENT	TM-RA-1
ra:technique:aadc/local.heuristic-box-diagram-scoring/5efc6b43	aadc	4294b2cfe1a81e9e3d6ce0c7dd80c699608d347a	src/main.rs	1633	e57b8d2792bc4163	CURRENT	1	1633-1633	CURRENT	TM-RA-1
ra:technique:aadc/local.heuristic-box-diagram-scoring/5efc6b43	aadc	4294b2cfe1a81e9e3d6ce0c7dd80c699608d347a	src/main.rs	1643	c1c47cde4dc2a3dc	CURRENT	1	1643-1643	CURRENT	TM-RA-1
ra:technique:aadc/local.heuristic-box-diagram-scoring/5efc6b43	aadc	4294b2cfe1a81e9e3d6ce0c7dd80c699608d347a	src/main.rs	1650	1460274f78be2ea8	CURRENT	1	1650-1650	CURRENT	TM-RA-1
ra:technique:acip/cryptographic-primitives/e04c89be	acip	6d2f3179ba2150ab1b54b345887e5c785f2c134c	integrations/openclaw/install.sh	448	060684d16a5e204b	CURRENT	1	448-448	CURRENT	TM-RA-1
ra:technique:acip/cryptographic-primitives/e04c89be	acip	6d2f3179ba2150ab1b54b345887e5c785f2c134c	integrations/openclaw/install.sh	720	c33156f2c09d0c86	CURRENT	1	720-720	CURRENT	TM-RA-1
ra:technique:acip/cryptographic-primitives/e04c89be	acip	6d2f3179ba2150ab1b54b345887e5c785f2c134c	integrations/openclaw/install.sh	723	e30a0c40a7f34edf	CURRENT	1	723-723	CURRENT	TM-RA-1
ra:technique:acip/cryptographic-primitives/e04c89be	acip	6d2f3179ba2150ab1b54b345887e5c785f2c134c	integrations/openclaw/install.sh	789	a5825d336e89651f	CURRENT	1	789-789	CURRENT	TM-RA-1
ra:technique:acip/toctou-immutable-pinning/d1fd4c24	acip	6d2f3179ba2150ab1b54b345887e5c785f2c134c	integrations/openclaw/install.sh	1181	16348d318aa20524	CURRENT	1	1181-1181	CURRENT	TM-RA-1
ra:technique:acip/toctou-immutable-pinning/d1fd4c24	acip	6d2f3179ba2150ab1b54b345887e5c785f2c134c	integrations/openclaw/install.sh	474	017b1f30cb722ad8	CURRENT	1	474-474	CURRENT	TM-RA-1
ra:technique:agent_flywheel_clawdbot_skills_and_integrations/rm-error-taxonomy/1b9c8a86	agent_flywheel_clawdbot_skills_and_integrations	f441ac3390d8fb54bb2b3388155b448948aeb526	skills/cass/scripts/recover.sh	4	0c50c933f9ad0c89	CURRENT	1	4-4	CURRENT	TM-RA-1
