id	practice	what_to_copy	areas	evidenced_in	source	source_quote	checklist	our_status	our_proof
RP-001	Measured, justified CI job timeouts	Size each job timeout-minutes from measured run history (about twice the slowest observed run) and write the measurement next to the number.	mcp	modelcontextprotocol/inspector	ecosystem/pickup/_evidence/mcp.md:26	roughly TWICE the slowest run observed	none	adopted	.github/workflows/verify.yml:36; commit a80abd0
RP-002	Concurrency cancel-in-progress for superseded PR runs	Put CI in a concurrency group per pull request with cancel-in-progress, so a newer push cancels the stale run; keep push runs uncancelled.	mcp;browser-use;voice-agents	modelcontextprotocol/python-sdk;modelcontextprotocol/typescript-sdk;modelcontextprotocol/servers;browserbase/stagehand;pipecat-ai/pipecat	ecosystem/pickup/_evidence/mcp.md:29	on PRs (both SDKs, servers); python-sdk	none	adopted	.github/workflows/verify.yml:22; commit a80abd0
RP-003	Pin CI actions to commit SHAs	Reference every third-party action by full commit SHA (tag in a comment) so a moved tag cannot change what CI runs.	agent-memory;embedding-serving;structured-output	getzep/graphiti;huggingface/sentence-transformers;dottxt-ai/outlines	ecosystem/pickup/_evidence/agent-memory.md:30	checkout/setup-python/setup-uv all pinned to SHAs	none	adopted	.github/workflows/verify.yml:41; .github/workflows/verify.yml:68; commit a80abd0
RP-004	Scheduled runs so gates execute without pushes	Add a nightly or weekly cron trigger so correctness, smoke, or benchmark jobs keep running when nobody pushes; drift then shows up on a date, not on the next unrelated change.	computer-use;embedding-serving;observability;sandbox-exec;structured-output;fine-tuning;inference-engines;frankensuite	trycua/cua;huggingface/text-embeddings-inference;michaelfeil/infinity;comet-ml/opik;cloudflare/sandbox-sdk;mlc-ai/xgrammar;meta-pytorch/torchtune;sgl-project/sglang;InternLM/lmdeploy;Dicklesworthstone/asupersync	ecosystem/pickup/_evidence/computer-use.md:32	scheduled live-environment smokes catch infra drift, not just unit failures	none	adopted	.github/workflows/verify.yml:15; commit a80abd0
RP-005	Least-privilege CI token by default	Default the workflow token to permissions: contents: read and grant more only per job, with the reason in a comment.	mcp;fine-tuning	modelcontextprotocol/inspector;Lightning-AI/litgpt	ecosystem/pickup/_evidence/mcp.md:26	with per-job overrides documented inline	none	adopted	.github/workflows/verify.yml:25; commit 4f4f0e3
RP-006	Single required all-green status check	Aggregate every job into one required check (re-actors/alls-green or a gate workflow) so branch protection names one status that a renamed or skipped job cannot bypass.	mcp;agent-memory	modelcontextprotocol/python-sdk;mem0ai/mem0	ecosystem/pickup/_evidence/agent-memory.md:23	Single required status check + path-filtered builds	none	not-applicable	verify.yml has one job, so its status already is the single check; revisit if a second job is added.
RP-007	Pin the whole toolchain, not just dependencies	Commit lockfiles and toolchain files, install with the frozen or locked flag, and pin vendored cores and cross-repo dependencies by exact version or content hash.	embedding-serving;inference-engines;frankensuite	huggingface/text-embeddings-inference;huggingface/sentence-transformers;huggingface/text-generation-inference;ollama/ollama;Dicklesworthstone/franken_lean;Dicklesworthstone/franken_threed;Dicklesworthstone/franken_native_capsule;Dicklesworthstone/frankensim	ecosystem/pickup/_evidence/embedding-serving.md:28	Pin the whole toolchain, not just deps	none	adopted	.github/workflows/verify.yml:4; package.json:11; bun.lock; .github/workflows/verify.yml:68
RP-008	Supply-chain and secret gates as separate CI steps	Run dependency audit, dependency firewall, and secret scanning as named gates of their own, before install touches the tree.	agent-memory;guardrails;frankensuite	getzep/graphiti;guardrails-ai/guardrails;Dicklesworthstone/franken_snowflake	ecosystem/pickup/_evidence/agent-memory.md:30	Supply-chain hygiene in CI: pinned action SHAs, dependency firewall	none	adopted	.github/workflows/verify.yml:58; .gitleaksignore; commit 4f4f0e3; secret scan only, no dependency audit (one exact-pinned devDependency)
RP-009	Verify tool and oracle integrity by hash before the suite runs	Check the SHA-256 (or blob SHA) of the downloaded tool or oracle checkout before running anything with it; a mismatch fails the job.	frankensuite	Dicklesworthstone/franken_threed	synthesis/uniqueness-catalog.md:192	The oracle checkout is verified by blob SHA-1	A2	adopted	.github/workflows/verify.yml:53; commit 4f4f0e3; the pinned gitleaks binary is hash-checked before it runs
RP-010	Regenerate derived artifacts in CI and fail on diff	Rebuild generated files (types from the spec, OpenAPI from the server, bundles, ledgers) in CI and fail if the committed copy differs.	mcp;observability;vector-dbs;frankensuite	modelcontextprotocol/typescript-sdk;langfuse/langfuse;qdrant/qdrant;Dicklesworthstone/franken_networkx	ecosystem/pickup/_evidence/observability.md:32	generate the spec from the server and diff it	none	adopted	.github/workflows/verify.yml:76; commit 4f4f0e3; map bundle rebuilt from source and diffed
RP-011	Public API or tool-surface diff gate on PRs	Build the base and head versions and diff the exposed surface (tool names, schemas, endpoints), so any surface change becomes an explicit review item.	mcp;vector-dbs	github/github-mcp-server;qdrant/qdrant	ecosystem/pickup/_evidence/mcp.md:27	builds the server from base and head and diffs the exposed MCP tool surface	none	not-applicable	This repository ships a static site, not an API or tool surface.
RP-012	Docs-as-tests: documented commands and examples run in CI	Execute README commands, doc snippets, and example scripts in CI so documentation cannot drift away from what actually runs.	web-search-apis;rag-frameworks;guardrails;quantization	exa-labs/exa-py;deepset-ai/haystack;vibrantlabsai/ragas;guardrails-ai/guardrails;mit-han-lab/llm-awq	ecosystem/pickup/_evidence/web-search-apis.md:27	Copy this ruthlessly: example code rots unless CI runs it.	none	adopted	.github/workflows/verify.yml:3; README.md:49; commit 4f4f0e3; CI runs the README Reproduce commands
RP-013	Path-filtered, change-aware CI	Run expensive jobs only when their paths change (paths-filter, paths-ignore for docs) and allow a labelled skip for costly evals.	eval-harnesses;browser-use;agent-memory;embedding-serving;web-search-apis	EleutherAI/lm-evaluation-harness;browserbase/stagehand;mem0ai/mem0;huggingface/text-embeddings-inference;jina-ai/reader	ecosystem/pickup/_evidence/eval-harnesses.md:26	CI validates only the benchmarks that changed	none	not-applicable	The whole gate chain runs in about a minute and the site is the docs; a docs-only skip would skip the gates that check them.
RP-014	Reusable workflow composition	Factor shared CI into workflow_call reusable workflows with pinned runtimes, called per package or per event.	web-search-apis;computer-use;embedding-serving	jina-ai/reader;trycua/cua;michaelfeil/infinity	ecosystem/pickup/_evidence/web-search-apis.md:32	reusable-workflow shape and the docs-skip	none	not-applicable	Single workflow with a single job.
RP-015	Per-package or per-integration CI workflows	Give each package, SDK language, or framework integration its own workflow (or a discovered matrix entry) so ownership and failures stay local.	mcp;agent-memory;computer-use;sandbox-exec;observability;vector-dbs;agent-frameworks;web-search-apis	modelcontextprotocol/servers;mem0ai/mem0;SuperMemoryAI/supermemory;trycua/cua;e2b-dev/E2B;comet-ml/opik;openlit/openlit;chroma-core/chroma;lancedb/lancedb;microsoft/autogen;firecrawl/firecrawl	ecosystem/pickup/_evidence/mcp.md:24	and fans out a per-server test matrix	none	not-applicable	One site, one package.
RP-016	Cross-platform and multi-arch build matrix	Build and test on every OS, architecture, runtime version, or hardware backend you ship for, with fail-fast off.	sandbox-exec;inference-engines;quantization;computer-use;browser-use;mcp;embedding-serving	kata-containers/kata-containers;ggml-org/llama.cpp;sgl-project/sglang;pytorch/ao;bitsandbytes-foundation/bitsandbytes;trycua/cua;microsoft/playwright-mcp;modelcontextprotocol/typescript-sdk;qdrant/fastembed	ecosystem/pickup/_evidence/sandbox-exec.md:59	Multi-arch build-check matrix (amd64/arm64/ppc64le/s390x/riscv64)	none	candidate	CI renders on ubuntu-latest only; the macOS reproduction path in the README is not exercised by CI.
RP-017	Lint and format gates separate from test gates	Run formatting and lint as their own required check, independent of heavy or hardware-bound CI, so PRs are reviewable without it.	quantization;rl-envs	bitsandbytes-foundation/bitsandbytes;ggml-org/llama.cpp;huggingface/trl;Farama-Foundation/Gymnasium;OpenRLHF/OpenRLHF;deepspeedai/DeepSpeed	ecosystem/pickup/_evidence/rl-envs.md:22	Copy: formatting (ruff/black) as its own required check.	none	not-applicable	Little code to format; copy quality is checked by Gate H instead.
RP-018	Coverage reporting with a failure policy	Upload coverage on every run and set fail_ci_if_error so a broken coverage upload is a red run, not a silent gap.	web-search-apis;structured-output	jina-ai/reader;exa-labs/exa-py;noamgat/lm-format-enforcer	ecosystem/pickup/_evidence/web-search-apis.md:31	Pick the Jina strictness for a new project.	none	not-applicable	No library code under test; line coverage is not a meaningful measure for this site.
RP-019	CI failure monitoring, flaky-test tracking and auto-bisect	Track CI failures over time, report flaky tests, and bisect automatically so a red main is traced to a commit without manual digging.	inference-engines;workflow-orchestrators	sgl-project/sglang;temporalio/temporal	ecosystem/pickup/_evidence/inference-engines.md:28	CI failure monitoring and auto-bisect.	none	not-applicable	Run volume is too small to have a flake population to track.
RP-020	Retry only named transient failure classes	Allow automatic reruns only for listed infrastructure errors (OSError, timeouts, HTTP 502/504, OOM), never for assertion failures.	fine-tuning;browser-use	huggingface/trl;browser-use/browser-use	ecosystem/pickup/_evidence/fine-tuning.md:61	only for OSError/Timeout/HTTP 502/504/OOM messages	none	not-applicable	verify.yml has no retries and the gates make no network calls.
RP-021	Privileged or expensive jobs only on explicit maintainer trigger	Gate GPU, live-API, or dangerous e2e jobs behind a label, slash command, merge queue, or org-membership check instead of running them on every fork PR.	sandbox-exec;web-search-apis;voice-agents;fine-tuning	cloudflare/sandbox-sdk;firecrawl/firecrawl;livekit/agents;axolotl-ai-cloud/axolotl	ecosystem/pickup/_evidence/sandbox-exec.md:57	Merge-queue + privileged-PR split (dangerous e2e tests only run with extra approval)	none	not-applicable	No privileged or paid job exists and the workflow uses no secrets.
RP-022	Tiered CI: fast tier on every PR, heavy tier gated or scheduled	Split tests by marker or directory into a cheap always-on tier (unit, CPU) and heavy tiers (integration, GPU, e2e, live provider) that run on label, merge, or schedule; state the contract for each tier.	fine-tuning;agent-frameworks;agent-memory;browser-use;embedding-serving;eval-harnesses;guardrails;inference-engines;mcp;observability;quantization;rag-frameworks;rl-envs;structured-output;vector-dbs;voice-agents;web-search-apis;workflow-orchestrators	axolotl-ai-cloud/axolotl;huggingface/trl;hiyouga/LlamaFactory;meta-pytorch/torchtune;langchain-ai/langgraph;getzep/graphiti;browserbase/stagehand;huggingface/text-embeddings-inference;UKGovernmentBEIS/inspect_ai;NVIDIA-NeMo/Guardrails;vllm-project/vllm;modelcontextprotocol/typescript-sdk;langfuse/langfuse-python;bitsandbytes-foundation/bitsandbytes;microsoft/graphrag;verl-project/verl;guidance-ai/guidance;weaviate/weaviate;livekit/agents;jina-ai/reader;temporalio/temporal	ecosystem/pickup/_evidence/fine-tuning.md:18	Tiered test pyramid: CPU unit tests on every PR, GPU e2e gated/scheduled	none	not-applicable	One tier suffices: the full gate chain takes about a minute.
