id	file	line	kind	context	stated_status	severity	ledger_disposition	ledger_source
GATE-001	PROJECT-PICKUP-PLAYBOOK.md	141	GATE	ref				
GATE-018	PROJECT-PICKUP-PLAYBOOK.md	142	GATE	ref				
REQ-CI-COST	PROJECT-PICKUP-PLAYBOOK.md	214	REQ	ref	Decl:universal			
REQ-VA-07	PROJECT-PICKUP-PLAYBOOK.md	229	REQ	ref				
GATE-MEM-02	PROJECT-PICKUP-PLAYBOOK.md	230	GATE	ref				
CLAIM-OBS-009	PROJECT-PICKUP-PLAYBOOK.md	231	CLAIM	ref				
UNK-VDB-01	PROJECT-PICKUP-PLAYBOOK.md	232	UNK	ref				
GATE-001	PROJECT-PICKUP-PLAYBOOK.md	236	GATE	ref				
GATE-018	PROJECT-PICKUP-PLAYBOOK.md	236	GATE	ref				
GATE-RL-01	PROJECT-PICKUP-PLAYBOOK.md	249	GATE	ref				
GATE-007	PROJECT-PICKUP-PLAYBOOK.md	440	GATE	ref				
GATE-001	PROJECT-PICKUP-PLAYBOOK.md	513	GATE	ref				
GATE-018	PROJECT-PICKUP-PLAYBOOK.md	513	GATE	ref				
GATE-001	PROJECT-PICKUP-PLAYBOOK.md	516	GATE	ref				
GATE-018	PROJECT-PICKUP-PLAYBOOK.md	516	GATE	ref				
GATE-001	PROJECT-PICKUP-PLAYBOOK.md	533	GATE	ref				
GATE-018	PROJECT-PICKUP-PLAYBOOK.md	533	GATE	ref				
GATE-005	PROJECT-PICKUP-PLAYBOOK.md	545	GATE	ref				
GATE-MCP-01	PROJECT-PICKUP-PLAYBOOK.md	545	GATE	ref				
GATE-MCP-02	PROJECT-PICKUP-PLAYBOOK.md	545	GATE	ref				
GATE-006	PROJECT-PICKUP-PLAYBOOK.md	545	GATE	ref				
GATE-MCP-03	PROJECT-PICKUP-PLAYBOOK.md	546	GATE	ref				
GATE-MCP-04	PROJECT-PICKUP-PLAYBOOK.md	546	GATE	ref				
GATE-017	PROJECT-PICKUP-PLAYBOOK.md	546	GATE	ref				
GATE-MAP-1	PROJECT-PICKUP-PLAYBOOK.md	546	GATE	ref				
GATE-006	PROJECT-PICKUP-PLAYBOOK.md	547	GATE	ref				
GATE-DW-4	PROJECT-PICKUP-PLAYBOOK.md	547	GATE	ref				
GATE-005	PROJECT-PICKUP-PLAYBOOK.md	548	GATE	ref				
GATE-001	PROJECT-PICKUP-PLAYBOOK.md	826	GATE	ref				
GATE-018	PROJECT-PICKUP-PLAYBOOK.md	826	GATE	ref				
GATE-014	PROJECT-PICKUP-PLAYBOOK.md	852	GATE	ref				
GATE-015	PROJECT-PICKUP-PLAYBOOK.md	852	GATE	ref				
GATE-016	PROJECT-PICKUP-PLAYBOOK.md	852	GATE	ref				
GATE-018	PROJECT-PICKUP-PLAYBOOK.md	853	GATE	ref	Decl:load-bearing			
REQ-DW-6	pickup-agent-frameworks.md	26	REQ	ref				
REQ-01	pickup-agent-frameworks.md	49	REQ	def				
REQ-02	pickup-agent-frameworks.md	53	REQ	def				
REQ-03	pickup-agent-frameworks.md	56	REQ	def				
REQ-04	pickup-agent-frameworks.md	59	REQ	def				
REQ-05	pickup-agent-frameworks.md	61	REQ	def				
REQ-06	pickup-agent-frameworks.md	64	REQ	def				
REQ-CI-COST	pickup-agent-frameworks.md	69	REQ	def				
GATE-007	pickup-agent-frameworks.md	75	GATE	ref				
UNK-01	pickup-agent-frameworks.md	118	UNK	def				
UNK-01	pickup-agent-frameworks.md	118	UNK	def				
