# Contract-to-gate matrix (review 5). One row per normative rule: where the rule is written (file:line, paths relative to .atlas-arc/contracts/ unless eval/),
# the sub-check that enforces it, the fixtures that must trip it (or pass, where marked), the expected failure code, and the fixture status:
# file:<path> = the fixture exists as data today; runs:<command> = a validator runs it today; described:<where> = the fixture is only described in plan text.
# Gates Q1-Q7 are not built (GATES-PLAN.md); only eval/validate.mjs runs today. A rule with no row is not enforced; a bead that adds a rule adds its row.
rule	written_at	rule_text	sub_check	fixtures	expected_failure	fixture_status
ID-01	IF-ID.md:20	ids are ASCII, <=160 chars, allowed character set	Q1.ID	IF-ID §6 planted ids (fr:A1, fh:oracles:Z2, fh:oracles:D14, ra:technique:frankensqlite/mvcc, crate:xtask, fr:rp-001, fh:ledger:C31)	Q1.ID.GRAMMAR	described:IF-ID.md §6 (run by mint_ids.py, scratch, 2026-09-24)
ID-02	IF-ID.md:76	one mint(source) function in search/lib/ids.mjs shared by generator, Q1 and the golden validator; id == mint(source row)	Q1.ID	IDF-00..IDF-07; GF-04, GF-05	Q1.ID.SOURCE_MISMATCH; eval exit 1 "does not point at this id's source item"	runs:node search/lib/ids.mjs --selftest (generator and Q1 not built; they must import this module); runs:node .atlas-arc/eval/validate.mjs --selftest
ID-03	IF-ID.md:22	ids derive only from source keys, never from row order, rowid or build time	Q1.ID + Q2.FRESHNESS	IDF-04; Q2 fixture (1)	Q1.ID.SOURCE_MISMATCH; Q2.FRESHNESS.DIFF	file:contracts/fixtures/id-derivation.json; described:GATES-PLAN.md Q2
ID-04	IF-ID.md:23	an id is never reused for a different item	Q6.ID	Q6 fixture (3) retired id reused	Q6.ID.RETIRED_REUSED	described:GATES-PLAN.md Q6
ID-05	IF-ID.md:24	share links and the golden set use ids verbatim (percent-encoded in URLs)	Q5.RENDER	a shared link #id=crate%3Afrankenterm%2Ftabout~23ece5 must open that card	Q5.RENDER.SHARE_LINK_UNRESOLVED	described:this row
ID-06	IF-ID.md:26	per-family grammar (§2) and validator regexes (§5)	Q1.ID	IDF-07; ID-01 planted ids	Q1.ID.GRAMMAR	runs:node search/lib/ids.mjs --selftest (generator and Q1 not built; they must import this module)
ID-07	IF-ID.md:79	~<h6> exactly on members of repeated (repo, crate) pairs	Q1.ID	IDF-00 (pass), IDF-01, IDF-02; GF-02, GF-03	Q1.ID.NONCANONICAL_SUFFIX; Q1.ID.MISSING_REQUIRED_SUFFIX; eval exit 2 (unresolved)	runs:node search/lib/ids.mjs --selftest (generator and Q1 not built; they must import this module); runs:node .atlas-arc/eval/validate.mjs --selftest
ID-08	IF-ID.md:58	slug rule; two items with one slug fail the build (no counters)	Q1.ID	two cross-pollination headings that slug alike	Q1.ID.COLLISION	described:this row
ID-09	IF-ID.md:66	one id minted twice fails the build naming both sources	Q1.ID	two manifests minting one crate id	Q1.ID.COLLISION	described:this row
ID-10	IF-ID.md:72	every disappeared id has a retirement row; new_id exists	Q6.ID	Q6 fixtures (1), (2)	Q6.ID.UNEXPLAINED_DISAPPEARANCE; Q6.ID.RETIREMENT_TARGET_MISSING	described:GATES-PLAN.md Q6
ID-11	IF-ID.md:112	every id resolves to its source item	Q1.ID	fr:RP-999; GF-01	Q1.ID.UNRESOLVED; eval exit 2	described:GATES-PLAN.md Q1; runs:node .atlas-arc/eval/validate.mjs --selftest
ID-12	IF-SHARD.md:16	every entry in exactly one of core and deep	Q1.SHARD	an id in both shards	Q1.SHARD.PLACEMENT	described:GATES-PLAN.md Q1
EN-01	IF-ENTRY.md:76	every entry validates against IF-ENTRY.schema.json	Q1.SCHEMA	the 17 schema mutations	Q1.SCHEMA.INVALID	described:IF-ENTRY.md §5 (run by validate_examples.py, scratch, 2026-09-25: RESULT PASS)
EN-02	IF-ENTRY.md:27	fr: entries carry an on-site url that resolves with its fragment	Q3.HON-03	url rigor/index.html#rp-999	Q3.HON-03.URL_UNRESOLVED	described:IF-HONESTY.md HON-03
EN-03	IF-ENTRY.md:65	basis is 20-400 characters of our words	Q1.SCHEMA + Q3.HON-12	a basis pasting 12+ words of a manifest description	Q3.HON-12.SHINGLE_MATCH	described:IF-HONESTY.md HON-12
EN-04	IF-ENTRY.md:71	Jeffrey's repositories pinned at a 40-hex commit; this repo at its release tag	Q3.HON-03	source_url ending /blob/main/Cargo.toml	Q3.HON-03.UNPINNED	described:IF-HONESTY.md HON-03
SH-01	IF-SHARD.md:15	quotes only in the quotes shard	Q3.HON-09	a core entry carrying quote	Q3.HON-09.QUOTE_IN_CORE	described:IF-HONESTY.md HON-09
SH-02	IF-SHARD.md:17	core <=150 KB brotli, all shards <=1.5 MB	Q5.BUDGET	Q5 fixture (2) core padded past 150 KB	Q5.BUDGET.CORE_BYTES; Q5.BUDGET.TOTAL_BYTES	described:GATES-PLAN.md Q5
SH-03	IF-SHARD.md:18	each shard is one window.FR_SEARCH_<NAME> assignment	Q7.SHARD	Q7 fixture (3) fetch-style JSON shard	Q7.SHARD.SHAPE	described:GATES-PLAN.md Q7
SH-04	IF-SHARD.md:48	all shards carry one build; core v stamps equal file hashes	Q7.SHARD	Q7 fixtures (1), (2)	Q7.SHARD.VERSION_STAMP; Q7.SHARD.BUILD_SKEW	described:GATES-PLAN.md Q7
SH-05	IF-SHARD.md:63	format and entry_schema majors are the expected ones	Q7.SHARD	core with format major 2	Q7.SHARD.FORMAT_MAJOR	described:this row
SH-06	IF-SHARD.md:69	the client never mixes two builds; unknown major shows the reload notice	Q5.RENDER	deep shard with another build loaded under core	Q5.RENDER.MIXED_BUILDS	described:this row
SH-07	IF-SHARD.md:78	crawler policy committed (DEC-011: open) and obeyed	Q3.HON-15	CPF-00..CPF-09	see HON-15	file:contracts/fixtures/crawler-policy.json
SO-01	IF-SOURCES.md:161	every SNAPSHOTS.tsv row names a file whose sha256 matches	Q2.SNAPSHOT	Q2 fixture (2) byte changed after the row	Q2.SNAPSHOT.HASH	described:GATES-PLAN.md Q2
SO-02	GATES-PLAN.md:25	crate snapshot at most 8 days old	Q2.SNAPSHOT	Q2 fixture (3) snapshot 9 days old	Q2.SNAPSHOT.STALE	described:GATES-PLAN.md Q2
SO-03	GATES-PLAN.md:23	committed shards equal a fresh build from committed sources	Q2.FRESHNESS	Q2 fixtures (1), (4)	Q2.FRESHNESS.DIFF	described:GATES-PLAN.md Q2
SO-04	IF-SOURCES.md:143	crate collector handles forks, nameless manifests, repeated pairs, metadata-MIT in rider repos, foreign crates.io names	COLLECTOR.selftest	the five recorded-response cases	COLLECTOR.<case>	described:IF-SOURCES.md §4.1
SO-05	IF-SOURCES.md:152	fh snapshot check records raw states; only normalized states reach the rules	Q3.HON-11	FHN-01..FHN-12; checker selftest (7 citations + unknown state)	Q3.HON-11.FH_STATE_UNMAPPED; Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json; runs:node search/tools/quote-check.mjs --selftest
SO-06	IF-SOURCES.md:159	rigor-atlas KNOW code evidence checked at the pin; TM-RA-1 only when a path is CURRENT or CURRENT+line_relocated	Q3.HON-11	TMF-00 (pass), TMF-09; search/snapshots/ra-evidence-check.tsv (1,412 TM-RA-1, 0 TM-RA-10)	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json; runs:node search/tools/quote-check.mjs ra --mirror <dir> --db <file>
SO-07	decisions-proposed.jsonl:12	v1 exclusions: forks, private oracles, doctrine ledger, replaces column, hypotheses, entities, nameless manifests	Q3.HON-10 + Q3.HON-16 + Q1.ID	fh:oracles:D14 entry; ra:technique:hnswlib-rs/... entry; fh:ledger:C31 id	Q3.HON-10.PRIVATE; Q3.HON-16.FORK; Q1.ID.GRAMMAR	described:IF-HONESTY.md HON-10, HON-16
PR-01	IF-PROMPT.md:15	prompt.text is its template rendered from our fields; 24 templates	Q2.FRESHNESS + Q3.HON-04	a prompt edited by hand after generation	Q2.FRESHNESS.DIFF	described:this row
PR-02	IF-PROMPT.md:9	slot values are our fields only	Q3.HON-12	a slot filled with 12+ words of a manifest description	Q3.HON-12.SHINGLE_MATCH	described:IF-HONESTY.md HON-12
PR-03	IF-PROMPT.md:46	posture sentence fixed per posture; no adoption imperative against a verdict	Q3.HON-04 + Q3.HON-05	frankensearch crate with cargo add; asupersync crate with posture use	Q3.HON-04.IMPERATIVE; Q3.HON-05.POSTURE	described:IF-HONESTY.md HON-04, HON-05
PR-04	IF-PROMPT.md:50	one license sentence per class; the rider described one way	Q3.HON-06 + Q3.HON-08	rider quote without flag; "You may not use this code if you use Claude."	Q3.HON-06.RIDER_FLAG; Q3.HON-08.RIDER_WORDING	described:IF-HONESTY.md HON-06, HON-08
PR-05	IF-PROMPT.md:71	quotes: cited CURRENT lines only, <=6 lines/480 chars, exact, licensed, notice, quotes shard only	Q3.HON-07 + Q3.HON-09	quote from an all-rights-reserved repo; 7-line quote; quote differing from its hash	Q3.HON-07.*; Q3.HON-09.QUOTE_IN_CORE	described:IF-HONESTY.md HON-07, HON-09
PR-06	IF-PROMPT.md:79	crawler policy open (DEC-011)	Q3.HON-15	CPF-00..CPF-09	see HON-15	file:contracts/fixtures/crawler-policy.json
HON-01	IF-HONESTY.md:11	Every result shows its trust level	Q3.HON-01	tier 2 labelled [Verified]	Q3.HON-01.TRUST_LEVEL	described:IF-HONESTY.md HON-01
